                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3683,                 2.0975,                  3.152,                0.94287,                0.85925,                0.92219,                0.56462,                 1.2904,                0.99042,                 1.7135,             0.00023725,             0.00023725,             0.00023725
                      2,                 1.3928,                0.97687,                  1.927,                0.92512,                0.90899,                0.94518,                0.59801,                 1.1879,                0.72368,                 1.3932,             0.00047055,             0.00047055,             0.00047055
                      3,                 1.1427,                0.73117,                 1.6298,                0.94392,                0.91927,                0.96421,                0.70811,                0.95326,                0.59191,                 1.1865,             0.00069913,             0.00069913,             0.00069913
                      4,                 1.0023,                0.61305,                 1.4938,                0.93766,                0.95395,                0.97527,                0.71528,                0.83867,                0.44291,                 1.0962,             0.00069279,             0.00069279,             0.00069279
                      5,                0.88532,                 0.5416,                 1.3853,                0.96959,                0.93984,                0.98367,                0.73798,                 0.8052,                0.43145,                 1.0628,             0.00068573,             0.00068573,             0.00068573
                      6,                0.81789,                0.49137,                 1.3265,                0.97731,                0.98083,                0.99059,                 0.8174,                0.64401,                0.35741,                0.93275,             0.00067866,             0.00067866,             0.00067866
                      7,                0.75749,                0.45844,                 1.2734,                0.99182,                0.98243,                0.99336,                0.80112,                0.71737,                0.37554,                0.98786,             0.00067159,             0.00067159,             0.00067159
                      8,                0.70453,                0.42513,                 1.2224,                0.98451,                0.96419,                 0.9913,                0.84925,                0.54685,                0.33529,                0.85983,             0.00066452,             0.00066452,             0.00066452
                      9,                0.66089,                 0.4002,                 1.1875,                0.98978,                 0.9807,                0.99404,                0.84967,                0.54805,                0.31576,                0.87315,             0.00065745,             0.00065745,             0.00065745
                     10,                0.62626,                0.37859,                 1.1586,                0.99232,                0.98243,                0.99322,                0.84442,                0.58469,                0.31636,                0.88127,             0.00065038,             0.00065038,             0.00065038
                     11,                0.59078,                0.35837,                 1.1398,                0.98938,                0.98562,                0.99399,                0.88469,                 0.4372,                0.28489,                0.80932,             0.00064331,             0.00064331,             0.00064331
                     12,                0.56357,                0.34714,                 1.1147,                0.99588,                0.98243,                0.99436,                0.89317,                0.43975,                0.27561,                0.80364,             0.00063625,             0.00063625,             0.00063625
                     13,                0.54681,                0.33474,                  1.099,                0.99975,                0.97694,                0.99424,                0.86928,                0.47143,                0.27308,                0.81668,             0.00062918,             0.00062918,             0.00062918
                     14,                0.52753,                0.32726,                 1.0826,                0.98981,                0.98562,                 0.9935,                0.89841,                0.41762,                 0.2517,                0.78978,             0.00062211,             0.00062211,             0.00062211
                     15,                0.50471,                0.31316,                 1.0691,                0.99651,                0.98362,                0.99417,                    0.9,                0.41371,                0.25077,                0.78693,             0.00061504,             0.00061504,             0.00061504
                     16,                 0.4912,                0.30905,                 1.0583,                0.99637,                0.98372,                0.99415,                0.90228,                0.39921,                0.24235,                0.77881,             0.00060797,             0.00060797,             0.00060797
                     17,                0.46976,                 0.2959,                 1.0443,                0.99964,                 0.9776,                0.99418,                0.91227,                0.39195,                0.23248,                0.76521,              0.0006009,              0.0006009,              0.0006009
                     18,                0.46666,                0.29357,                 1.0391,                0.99624,                0.98243,                0.99431,                0.90444,                0.39114,                0.23236,                0.76571,             0.00059383,             0.00059383,             0.00059383
                     19,                0.45177,                0.28879,                 1.0302,                 0.9989,                0.97604,                0.99405,                0.91667,                0.36402,                0.21331,                0.75701,             0.00058677,             0.00058677,             0.00058677
                     20,                0.43987,                 0.2774,                 1.0174,                 0.9963,                0.98392,                0.99411,                0.92071,                0.35369,                0.22292,                0.75008,              0.0005797,              0.0005797,              0.0005797
                     21,                0.43544,                0.28088,                 1.0207,                0.98978,                0.98562,                0.99403,                0.92056,                0.34462,                0.21788,                 0.7449,             0.00057263,             0.00057263,             0.00057263
                     22,                0.43352,                0.27445,                 1.0157,                0.99971,                0.97729,                0.99433,                0.91614,                0.35977,                0.21678,                0.74489,             0.00056556,             0.00056556,             0.00056556
                     23,                 0.4168,                0.26865,                 1.0103,                0.99007,                0.98562,                0.99428,                0.92238,                0.33434,                0.21024,                0.74199,             0.00055849,             0.00055849,             0.00055849
                     24,                0.41035,                0.26388,                0.99557,                      1,                0.97745,                0.99406,                0.92501,                0.33188,                0.20205,                0.72937,             0.00055142,             0.00055142,             0.00055142
                     25,                0.39647,                0.25694,                0.99242,                0.99579,                0.98243,                0.99398,                0.93341,                0.33312,                0.20601,                0.73099,             0.00054435,             0.00054435,             0.00054435
                     26,                0.38937,                0.25452,                0.98112,                0.99642,                0.98373,                0.99421,                0.92982,                0.31545,                0.20273,                0.72417,             0.00053728,             0.00053728,             0.00053728
                     27,                 0.3891,                0.25023,                0.98156,                 0.9822,                0.98882,                0.99396,                0.93293,                0.31003,                0.19489,                0.72168,             0.00053022,             0.00053022,             0.00053022
