                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8054,                 2.2311,                  3.662,                0.00411,                    0.5,                0.20812,                0.04358,                 4.5849,                 3.0937,                 4.0947,             0.00023403,             0.00023403,             0.00023403
                      2,                  2.073,                 1.5255,                 2.9265,                0.00542,                    0.5,                0.02865,                0.00996,                 4.6841,                 3.7503,                  4.276,             0.00046736,             0.00046736,             0.00046736
                      3,                 1.8429,                 1.3584,                 2.4771,                0.99071,                0.42846,                0.50024,                0.25742,                 1.9266,                 1.2527,                 2.1717,             0.00069597,             0.00069597,             0.00069597
                      4,                 1.6365,                 1.1507,                 2.2012,                0.76584,                0.84515,                0.86171,                0.47883,                 1.4846,                 1.0489,                 1.8305,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.5647,                 1.0831,                 2.0645,                  0.907,                0.85604,                0.89457,                0.50465,                 1.4354,                 1.0972,                 1.7115,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.4359,                0.97166,                 1.9096,                0.90179,                0.90659,                0.89953,                0.54049,                 1.3324,                0.87199,                 1.5884,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.3716,                 0.9205,                 1.8189,                0.89488,                0.88582,                0.91562,                0.54413,                 1.2318,                0.85734,                 1.5281,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.3351,                0.89054,                 1.7594,                 0.9346,                0.85161,                0.91966,                0.53363,                 1.4281,                 0.8647,                 1.6419,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.3183,                 0.8308,                 1.7072,                0.92961,                0.88956,                0.91606,                 0.5809,                 1.2364,                0.71137,                 1.5195,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.2623,                0.83624,                 1.6636,                0.94772,                0.87542,                0.92296,                0.59513,                 1.1713,                0.70607,                 1.4597,             0.00065038,             0.00065038,             0.00065038
                     11,                  1.222,                0.78564,                 1.6203,                0.94831,                0.86429,                 0.9305,                0.63103,                 1.0738,                0.67547,                 1.4028,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.1694,                0.74843,                 1.5717,                 0.9722,                0.89137,                0.92779,                0.58818,                 1.2623,                0.67933,                 1.4346,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.1549,                0.71386,                 1.5481,                0.92634,                 0.8914,                0.94006,                0.59817,                  1.193,                0.65986,                 1.4597,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.1391,                0.72047,                 1.5245,                0.96548,                0.89401,                0.94175,                0.63613,                 1.0878,                0.63308,                 1.3399,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.1641,                0.71853,                 1.5339,                0.96542,                0.88498,                0.93616,                0.61865,                 1.0532,                0.58908,                 1.3116,             0.00061504,             0.00061504,             0.00061504
