                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2673,                 1.9799,                 3.0151,                0.94295,                0.86791,                0.93373,                0.56885,                  1.358,                0.99945,                  1.729,             0.00023725,             0.00023725,             0.00023725
                      2,                 1.3864,                0.97327,                 1.8562,                 0.9481,                0.92013,                0.95063,                0.65805,                 1.0623,                0.62795,                 1.2619,             0.00047055,             0.00047055,             0.00047055
                      3,                 1.1365,                0.73728,                 1.5738,                0.97701,                0.93131,                0.97659,                0.70357,                0.86597,                0.51803,                 1.1368,             0.00069913,             0.00069913,             0.00069913
                      4,                0.99138,                0.62114,                 1.4372,                0.92545,                0.94494,                 0.9703,                0.58086,                 1.5405,                0.80143,                 1.8897,             0.00069279,             0.00069279,             0.00069279
                      5,                0.86628,                0.54042,                 1.3305,                0.95242,                0.94409,                0.97597,                0.73073,                0.84465,                0.45319,                 1.1315,             0.00068573,             0.00068573,             0.00068573
                      6,                0.79668,                0.48812,                  1.275,                0.98748,                0.96053,                 0.9918,                0.81636,                0.64434,                0.37509,                0.96112,             0.00067866,             0.00067866,             0.00067866
                      7,                0.73766,                 0.4532,                 1.2253,                0.98807,                0.97125,                0.99207,                0.80536,                0.67234,                0.35731,                0.93755,             0.00067159,             0.00067159,             0.00067159
                      8,                0.67503,                0.41717,                 1.1739,                0.99555,                0.96965,                0.99206,                 0.8503,                0.54997,                0.33669,                0.88555,             0.00066452,             0.00066452,             0.00066452
                      9,                0.64312,                0.39918,                 1.1491,                0.98957,                0.98562,                0.99398,                0.87239,                0.47956,                0.27585,                0.83395,             0.00065745,             0.00065745,             0.00065745
                     10,                0.60253,                0.37854,                 1.1188,                0.99492,                0.97923,                0.99264,                0.87008,                0.46774,                0.28525,                0.82481,             0.00065038,             0.00065038,             0.00065038
                     11,                0.56426,                0.35458,                 1.0998,                0.99579,                0.98562,                0.99436,                0.88225,                0.48087,                0.27757,                0.82236,             0.00064331,             0.00064331,             0.00064331
                     12,                0.54905,                0.34499,                 1.0846,                0.99636,                0.98365,                0.99432,                0.88351,                0.43017,                0.24695,                  0.795,             0.00063625,             0.00063625,             0.00063625
